title	type	url_slug	venue	date	location	talk_url	description
The new FBBB’s Laboratory of Bioinformatics and Genome Biology: computational approaches to study genes, genomes, gene regulatory networks	Talk	jubilee	The Jubilee Conference of the Faculty of Biochemistry and Biotechnology at the Jagiellonian University.	24/09/2021	Jagiellonian University, Krakow, Poland	https://jubileuszwbbib.confer.uj.edu.pl/en_GB/program/ksiazka-streszczen	[Photo1](JW210926_356.jpg)[Photo2](JW210926_360.jpg)[Photo3](JW210926_363.jpg)
Small RNAs: when the small rule the bigger	Talk	winterschool22	XLIX Winter School of the Faculty of Biochemistry and Biotechnology at the Jagiellonian University.	22/02/2022	Jagiellonian University, Krakow, Poland	https://winterschool.wbbib.uj.edu.pl/en_GB/	Guillem Ylla gave a talk in the workshop titled “Omics research – from methodology to application” about the role of small RNAs controlling the expression of mRNAs. ![](WBBiB_Winter_School_2022_slide2.jpg)
Could E93 play the adult specifier role in the embryo? 	Talk	ice2022	International Congress of Entomology 2022.	20/07/2022	Helsinki, Finland	https://ice2020helsinki.fi/	
Comparative genomics of insects to unveil the evolution of gene regulatory networks.	Talk	Bibtorun2022	Bioinformatics in Torun conference by the Polish Bioinformatics Society  2022.	24/06/2022	Torun, Poland	https://www.ptbi.org.pl/website/conferences/bit22/	
Cricket genomes: unveiling the genomes of future food.	Talk	PCG2022	6th Polish Congress of Genetics	30/06/2022	Krakow, Pland	https://kongresgenetyki2022.jordan.pl/	[Photo4](IMG_0161.jpg)
Non-traditional insect models are key for understanding the evolution and regulation of insect metamorphosis	Talk	NtrAMS	Non-Traditional Arthropod Model Systems Meeting: Studying Form and Function	03/08/2023	Bowdoin College, Brunswick, Maine, USA	https://www.bowdoin.edu/events/conferences/ntrams-summer-conference.html	
Using bioinformatics to unveil the mysteries of animal evolution.	Talk	ICG-18	18th Annual Meeting of the International Conference on Genomics (ICG-18) Youth Symposium	26/07/2023	Shenzhen, China, July 26h 2023	https://icg.bio/en/ICG18index/index.aspx	
Using bioinformatics to unveil the mysteries of animal evolution.	Talk	Genomica	7th Polish Conference of Genetics: “Genomica”	20/05/2023	Jagiellonian University, Krakow, Poland	http://www.genomica.pl/en/home-page/	
A novel bioinformatics tool to annotate and analyze piRNAs.	Talk	PTBI2023	Symposium of the Polish Bioinformatics Society	13/09/2023	Gliwice, Poland	https://www.ptbi.org.pl/website/conferences/ptbi2023/	
The transcriptomics of the evolution of insect metamorphosis.	Talk	RNABio2023	Polish RNA Biology Meeting	28/09/2023	Warsaw, Poland	International Institute of Molecular and Cell Biology in Warsaw	
